"0",""
"0","# find the mean and median for each classes of event per region"
"0","minor_med <- median(region_analysis$minor) #379"
"0","medium_med <- median(region_analysis$medium) #117.5"
"0","major_med <- median(region_analysis$major) #11"
"0",""
"0","minor_mean <- mean(region_analysis$minor) #369.833"
"0","medium_mean <- mean(region_analysis$medium) #121"
"0","major_mean <- mean(region_analysis$major) #14.333"
"0",""
"0","damage_r1 <- region_analysis %>% filter(Region == ""Region 1"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0","damage_r2 <- region_analysis %>% filter(Region == ""Region 2"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0","damage_r3 <- region_analysis %>% filter(Region == ""Region 3"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0","damage_r4 <- region_analysis %>% filter(Region == ""Region 4"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0","damage_r5 <- region_analysis %>% filter(Region == ""Region 5"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0","damage_r6 <- region_analysis %>% filter(Region == ""Region 6"") %>%"
"0","  summarise(damage = minor*weighting_minor + medium*weighting_medium +"
"0","              major*weighting_major)"
"0",""
"0","reg_damage_analysis <- rbind(damage_r1, damage_r2, damage_r3, damage_r4, damage_r5, damage_r6)"
"0",""
"0","reg_damage_analysis <- tibble::rownames_to_column(reg_damage_analysis, ""Region"")"
"0","colnames(reg_damage_analysis)[2] <- ""Adj. Freq"""
"0",""
"0","kable(reg_damage_analysis, align = ""cr"", caption = ""Weight Adjusted Hazard's Frequency"") %>% "
"0","  kable_styling(full_width = F)"
